max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,0,740,36,17,4.1666665,7.470588,41.571472,23,1,56,44,50,1,1,1
30,0,750,38,20,3.9473684,6.4,13.348508,22,1,56,44,50,1,1,1
30,0,760,36,19,4.1666665,6.736842,16.542856,22,1,56,44,50,1,1,1
30,0,770,35,19,4.285714,6.7894735,21.504196,21,1,56,44,50,1,1,1
30,0,780,40,19,3.75,6.4736843,14.448718,27,1,56,44,50,1,1,1
30,0,790,38,21,3.9473684,6.142857,14.321481,21,1,56,44,50,1,1,1
30,0,800,41,22,3.6585367,5.7727275,13.230489,22.999992,1,56,44,50,1,1,1
30,0,810,34,17,4.4117646,7.5882354,34.6132,21,1,56,44,50,1,1,1
30,0,820,37,20,4.0540543,6.5,19.830336,20,1,56,44,50,1,1,1
30,0,830,25,13,6,10.307693,76.083336,16,1,56,44,50,1,1,1
30,0,840,27,16,5.5555553,8.4375,55.871788,15,1,56,44,50,1,1,1
30,0,850,28,17,5.357143,8.058824,39.05291,13,1,56,44,50,1,1,1
30,0,860,30,15,5,8.666667,37.310345,20,1,56,44,50,1,1,1
30,0,870,36,17,4.1666665,7.352941,29.628569,25,1,56,44,50,1,1,1
30,0,880,37,14,4.0540543,8.571428,126.219154,30,1,56,44,50,1,1,1
30,0,890,30,14,5,9.071428,149.7931,23,1,56,44,50,1,1,1
30,0,900,32,12,4.6875,10.166667,146.60887,28,1,56,44,50,1,1,1
30,0,910,33,16,4.5454545,8.0625,82.13071,21,1,56,44,50,1,1,1
30,0,920,28,13,5.357143,9.923077,101.941795,21,1,56,44,50,1,1,1
30,0,930,33,14,4.5454545,8.785714,66.818184,27,1,56,44,50,1,1,1
30,0,940,34,14,4.4117646,8.785714,61.09804,27,1,56,44,50,1,1,1
30,0,950,39,16,3.8461537,7.5625,40.97571,29,1,56,44,50,1,1,1
30,0,960,39,15,3.8461537,7.866667,36.344135,32,1,56,44,50,1,1,1
30,0,970,38,19,3.9473684,6.631579,17.402552,24,1,56,44,50,1,1,1
30,0,980,36,18,4.1666665,6.9444447,23.457142,25,1,56,44,50,1,1,1
30,0,990,34,16,4.4117646,7.8125,59.58289,25,1,56,44,50,1,1,1
30,0,1000,34,16,4.4117646,7.875,66.24956,24,1,56,44,50,1,1,1
30,1,10,102,9,1.4705882,4.7777777,1.4199167,107,1,56,52,42,1,1,1
30,1,20,116,7,1.2931035,3.4285715,0.4524742,126,1,56,52,42,1,1,1
30,1,30,109,7,1.3761468,3.7142856,0.57016706,124,1,56,52,42,1,1,1
30,1,40,108,6,1.3888888,4,0.6137067,126,1,56,52,42,1,1,1
30,1,50,101,10,1.4851485,3.6,0.7322771,114,1,56,52,42,1,1,1
30,1,60,96,14,1.5625,3.642857,0.9855263,99,1,56,52,42,1,1,1
30,1,70,94,14,1.5957447,3.7142856,1.1251428,98,1,56,52,42,1,1,1
30,1,80,90,17,1.6666666,3.8823528,1.4157298,84,1,56,52,42,1,1,1
30,1,90,90,17,1.6666666,3.9411764,1.6629205,83,1,56,52,42,1,1,1
30,1,100,98,13,1.5306122,4.076923,1.5918382,97,1,56,52,42,1,1,1
30,1,110,89,14,1.6853932,4.428571,2.1953495,88,1,56,52,42,1,1,1
30,1,120,82,17,1.8292683,4.2941175,2.2667847,77,1,56,52,42,1,1,1
30,1,130,87,18,1.7241379,3.9444444,1.8299894,79,1,56,52,42,1,1,1
30,1,140,81,20,1.8518518,4.15,2.5777745,67,1,56,52,42,1,1,1
30,1,150,86,15,1.744186,4.5333333,2.1690857,82,1,56,52,42,1,1,1
30,1,160,82,15,1.8292683,4.6,2.2667847,81,1,56,52,42,1,1,1
30,1,170,79,15,1.8987342,4.9333334,3.117819,76,1,56,52,42,1,1,1
30,1,180,75,14,2,5.571429,5.216216,72,1,56,52,42,1,1,1
30,1,190,69,12,2.173913,6.4166665,10.028128,73,1,56,52,42,1,1,1
30,1,200,68,14,2.2058823,5.928571,8.524148,67,1,56,52,42,1,1,1
30,1,210,65,12,2.3076923,6.8333335,6.3725915,68,1,56,52,42,1,1,1
30,1,220,73,10,2.0547945,7,5.7191715,80,1,56,52,42,1,1,1
30,1,230,67,11,2.238806,6.818182,6.2148347,75,1,56,52,42,1,1,1
30,1,240,63,11,2.3809524,7.3636365,8.2718935,69,1,56,52,42,1,1,1
30,1,250,63,11,2.3809524,7.6363635,10.368671,66,1,56,52,42,1,1,1
30,1,260,64,16,2.34375,5.3125,5.1498017,65,1,56,52,42,1,1,1
30,1,270,72,12,2.0833333,6,5.48592,78,1,56,52,42,1,1,1
30,1,280,73,14,2.0547945,5,4.330282,80,1,56,52,42,1,1,1
30,1,290,62,14,2.419355,6.142857,10.050776,64,1,56,52,42,1,1,1
30,1,300,57,18,2.631579,5.611111,10.165413,49,1,56,52,42,1,1,1
30,1,310,62,15,2.419355,6,9.624543,60,1,56,52,42,1,1,1
30,1,320,58,21,2.586207,5.047619,8.77314,44,1,56,52,42,1,1,1
30,1,330,56,19,2.6785715,5.3157897,10.003897,48.999992,1,56,52,42,1,1,1
30,1,340,54,20,2.7777777,5.25,8.591194,45,1,56,52,42,1,1,1
