update algorithm,max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
m1,30,0,2800,40,15,3.75,7.6,19.064102,36,0.99333334,51,52,46,1,0.9811321,1
m1,30,0,2850,38,15,3.9473684,8,25.780922,30,0.99333334,51,52,46,1,0.9811321,1
m1,30,0,2900,41,12,3.6585367,9.333333,24.03048,38,0.99333334,51,52,46,1,0.9811321,1
m1,30,0,2950,33,11,4.5454545,11.181818,60.318153,27,0.99333334,51,52,46,1,0.9811321,1
m1,30,0,3000,33,12,4.5454545,10.25,55.630657,27,0.99333334,51,52,46,1,0.9811321,1
m1,30,0,3050,30,16,5,8.25,34.75862,18,0.99333334,51,52,46,1,0.9811321,1
m1,30,0,3100,27,10,5.5555553,12.6,86.94874,24,1,51,53,46,1,1,1
m1,30,0,3150,26,11,5.769231,11.909091,81.06463,19,1,51,53,46,1,1,1
m1,30,0,3200,29,16,5.172414,8.1875,71.64779,19,1,51,53,46,1,1,1
m1,30,0,3250,30,15,5,8.6,33.310345,21,1,51,53,46,1,1,1
m1,30,0,3300,32,11,4.6875,10.818182,79.89919,31,1,51,53,46,1,1,1
m1,30,0,3350,43,17,3.488372,6.882353,16.732016,33,1,51,53,46,1,1,1
m1,30,0,3400,37,10,4.0540543,11.6,57.274773,34,1,51,53,46,1,1,1
m1,30,0,3450,41,12,3.6585367,9.5,30.380514,36,1,51,53,46,1,1,1
m1,30,0,3500,39,11,3.8461537,10.545455,35.554657,33.999992,1,51,53,46,1,1,1
m1,30,0,3550,39,14,3.8461537,8.428572,25.39676,32,1,51,53,46,1,1,1
m1,30,0,3600,39,10,3.8461537,11.4,82.97571,36,1,51,53,46,1,1,1
m1,30,0,3650,32,8,4.6875,15,68.93145,30,1,51,53,46,1,1,1
m1,30,0,3700,22,7,6.818182,18.428572,301.01288,21,1,51,53,46,1,1,1
m1,30,0,3750,26,8,5.769231,15.5,116.26462,26,1,51,53,46,1,1,1
m1,30,0,3800,25,7,6,18,125.583336,24,1,51,53,46,1,1,1
m1,30,0,3850,21,6,7.142857,21.833334,234.02873,19,1,51,53,46,1,1,1
m1,30,0,3900,27,9,5.5555553,14.111111,148.17955,23,1,51,53,46,1,1,1
m1,30,0,3950,27,9,5.5555553,14.222222,105.94877,22,1,51,53,46,1,1,1
m1,30,0,4000,27,9,5.5555553,14.111111,98.25646,23,1,51,53,46,1,1,1
m1,30,0,4050,37,15,4.0540543,8.2,46.052567,27,1,51,53,46,1,1,1
m1,30,0,4100,31,13,4.83871,9.615385,44.606453,24.999992,1,51,53,46,1,1,1
m1,30,0,4150,31,14,4.83871,9.142858,68.80644,22,1,51,53,46,1,1,1
m1,30,0,4200,37,14,4.0540543,8.785714,35.052567,27,1,51,53,46,1,1,1
m1,30,0,4250,28,14,5.357143,9.571428,54.756634,16,1,51,53,46,1,1,1
m1,30,0,4300,26,12,5.769231,11.083333,86.184616,17,1,51,53,46,1,1,1
m1,30,0,4350,34,12,4.4117646,10.25,62.795017,27,1,51,53,46,1,1,1
m1,30,0,4400,32,13,4.6875,9.615385,63.83468,24.999992,1,51,53,46,1,1,1
m1,30,0,4450,36,13,4.1666665,9.461538,40.885746,27,1,51,53,46,1,1,1
m1,30,0,4500,25,9,6,14.555555,127.666664,19,1,51,53,46,1,1,1
m1,30,0,4550,30,13,5,10,68.68965,20,1,51,53,46,1,1,1
m1,30,0,4600,29,15,5.172414,9,65.79066,15,1,51,53,46,1,1,1
m1,30,0,4650,22,11,6.818182,12.545455,100.441536,12,1,51,53,46,1,1,1
m1,30,0,4700,28,12,5.357143,10.833333,62.089966,20,1,51,53,46,1,1,1
m1,30,0,4750,38,13,3.9473684,9.384615,44.37555,28.000008,1,51,53,46,1,1,1
m1,30,0,4800,36,9,4.1666665,13.222222,65.05717,31,1,51,53,46,1,1,1
m1,30,0,4850,32,10,4.6875,12.1,144.7379,29,1,51,53,46,1,1,1
m1,30,0,4900,32,12,4.6875,10.5,144.80241,24,1,51,53,46,1,1,1
m1,30,0,4950,31,9,4.83871,13.333333,133.33975,30,1,51,53,46,1,1,1
m1,30,0,5000,27,10,5.5555553,12.8,170.02557,22,1,51,53,46,1,1,1
