max distance,Trial Number, Time Step,  Total Num Clusters,  truely Num Clusters, Mean Cluster Size,  truely Mean cluster size, Cluster Size Std.Dev,  Unclustered boids, Mean Correct Belief (All) ,Correct Red Number,Correct Green Number,Correct Blue Number,Mean Correct Belief (All Red),  Mean Correct Belief (All Green),  Mean Correct Belief (All Blue)
30,0,730,30,13,5,9.692307,86.62069,24,1,48,48,54,1,1,1
30,0,740,27,14,5.5555553,9.571428,71.71793,16,1,48,48,54,1,1,1
30,0,750,29,12,5.172414,10.75,88.43347,21,1,48,48,54,1,1,1
30,0,760,32,14,4.6875,9.285714,40.092743,20,1,48,48,54,1,1,1
30,0,770,30,15,5,8.8,37.655174,18,1,48,48,54,1,1,1
30,0,780,33,18,4.5454545,7.388889,26.380684,17,1,48,48,54,1,1,1
30,0,790,34,20,4.4117646,6.7,18.310158,16,1,48,48,54,1,1,1
30,0,800,36,16,4.1666665,7.875,32.600014,24,1,48,48,54,1,1,1
30,0,810,37,14,4.0540543,8.714286,26.385895,28,1,48,48,54,1,1,1
30,0,820,31,12,4.83871,10.5,48.406452,24,1,48,48,54,1,1,1
30,0,830,27,15,5.5555553,9.066667,59.871788,14,1,48,48,54,1,1,1
30,0,840,30,16,5,8.3125,57.310345,17,1,48,48,54,1,1,1
30,0,850,34,12,4.4117646,10.25,57.401077,27,1,48,48,54,1,1,1
30,0,860,28,11,5.357143,11.818182,151.71954,20,1,48,48,54,1,1,1
30,0,870,27,13,5.5555553,10.307693,75.33332,16,1,48,48,54,1,1,1
30,0,880,27,14,5.5555553,9.714286,51.025627,14,1,48,48,54,1,1,1
30,0,890,25,10,6,13.3,97.833336,17,1,48,48,54,1,1,1
30,0,900,27,13,5.5555553,10.307693,58.948704,16,1,48,48,54,1,1,1
30,0,910,31,14,4.83871,9.285714,31.806463,20,1,48,48,54,1,1,1
30,0,920,31,15,4.83871,8.8,44.00646,18,1,48,48,54,1,1,1
